"Pollster","Date","Sample Size","Stratification","Methodology","Fieldwork Start","Fieldwork End","PS - Partido Socialista","AD - Aliança Democrática","BE - Bloco de Esquerda","PCP-PEV - Coligação Democrática Unitária","PAN - Pessoas-Animais-Natureza","A - Aliança","L - Livre","Liberal - Iniciativa Liberal","Chega - Chega","Outros - Outros/Brancos/Nulos","PSD - Partido Social Democrata","CDS-PP - Partido Popular","PAF - PSD/CDS - Portugal à Frente (2015)"
"Pitagórica","20/02/2022","600","Quotas por sexo, idade e distrito","['Telefónica']","15/02/2022","20/02/2022","37.1","","4.5","4.3","1.3","","2.7","7.3","5.6","4.1","31.7","1.4",""
"Pitagórica","20/02/2022","600","Quotas por sexo, idade e distrito","['Telefónica']","15/02/2022","20/02/2022","36.5","","4.4","4.4","1.3","","2.5","7.2","4.2","3.6","30.6","5.3",""
"Intercampus","07/02/2022","613","Quotas, por género e idade","['Telefónica']","2/02/2022","7/02/2022","43.2","","4.6","4.2","2.6","","1.8","5.2","7.3","2.7","27.1","1.4",""
"CESOP-U.Católica","30/01/2022","27615","Aleatória","['Presencial']","30/01/2022","30/01/2022","39.5","","4.5","4.0","2.0","","2.0","5.5","6.5","1.5","32.5","2.0",""
"Metris","30/01/2022","18361","Aleatória (Freguesias-tipo)","['Presencial']","30/01/2022","30/01/2022","39.4","","4.5","4.5","1.8","","1.4","6.2","6.5","5.2","28.9","1.6",""
"Intercampus","30/01/2022","23848","Aleatória (Freguesias-tipo)","['Presencial']","30/01/2022","30/01/2022","39.6","","4.4","4.5","1.7","","1.4","5.5","5.8","5.8","29.7","1.6",""
"Pitagórica","30/01/2022","33157","Aleatória","['Presencial']","30/01/2022","30/01/2022","40.0","","5.0","4.5","1.8","","2.3","6.5","6.5","2.3","29.2","1.9",""
"Pitagórica","28/01/2022","760","Tracking poll (resultados acumulados","['Telefónica']","24/01/2022","28/01/2022","36.6","","5.1","5.2","1.2","","1.7","5.2","5.4","5.4","32.9","1.4",""
"Pitagórica","26/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","23/01/2022","26/01/2022","36.7","","6.1","5.7","1.0","","1.8","4.3","5.1","6.1","31.3","2.1",""
"CESOP-U.Católica","26/01/2022","2192","Estratificada por sexo, região e voto nas legislativas de 2019","['Telefónica']","19/01/2022","26/01/2022","36.0","","6.0","5.0","2.0","","2.0","6.0","6.0","2.0","33.0","2.0",""
"Pitagórica","25/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","22/01/2022","25/01/2022","36.6","","6.7","4.2","1.0","","1.6","3.8","6.7","6.7","30.9","1.8",""
"ICS/ISCTE/GFK Metris","24/01/2022","1003","Quotas, por Sexo, Idade, Instrução, Região e Habitat","['Presencial']","18/01/2022","24/01/2022","35.0","","5.0","6.0","2.0","","1.0","6.0","6.0","5.0","33.0","1.0",""
"Pitagórica","24/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","21/01/2022","24/01/2022","36.7","","5.7","4.3","1.8","","1.0","3.2","7.5","6.9","31.4","1.4",""
"Pitagórica","23/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","20/01/2022","23/01/2022","35.3","","6.1","4.9","1.6","","0.8","4.7","6.9","6.5","31.4","1.6",""
"Pitagórica","22/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","19/01/2022","22/01/2022","34.1","","5.1","5.5","1.6","","1.2","5.3","6.6","6.2","33.5","0.8",""
"Aximage","21/01/2022","965","Quotas, por sexo, idade e região","['Telefónica']","16/01/2022","21/01/2022","33.8","","6.6","4.5","3.2","","1.4","2.8","8.0","3.7","34.4","1.6",""
"Pitagórica","21/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","18/01/2022","21/01/2022","33.5","","5.7","4.7","1.6","","1.2","5.7","6.5","5.9","34.5","0.8",""
"Pitagórica","20/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","17/01/2022","20/01/2022","34.6","","4.9","4.5","1.6","","1.6","6.3","6.3","5.3","33.5","1.2",""
"Pitagórica","19/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","16/01/2022","19/01/2022","36.5","","5.0","5.0","1.9","","1.5","5.2","6.3","4.8","32.9","1.0",""
"Metris","18/01/2022","812","Estratificada por sexo, idade e região","['Presencial']","11/01/2022","18/01/2022","39.2","","5.0","5.4","1.2","","0.7","4.3","6.8","3.9","32.6","0.9",""
"CESOP-U.Católica","18/01/2022","1456","Estratificada por sexo, região e voto nas legislativas de 2019","['Telefónica']","12/01/2022","18/01/2022","37.0","","5.0","5.0","2.0","","2.0","5.0","6.0","3.0","33.0","2.0",""
"Pitagórica","18/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","15/01/2022","18/01/2022","38.7","","5.1","5.3","1.7","","1.1","4.7","7.2","4.7","30.4","1.1",""
"Pitagórica","17/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","14/01/2022","17/01/2022","39.8","","4.5","5.8","1.7","","1.5","4.3","7.5","3.2","30.4","1.3",""
"Pitagórica","16/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","13/01/2022","16/01/2022","40.1","","5.9","5.9","1.5","","1.3","5.0","8.0","2.9","28.8","0.6",""
"Pitagórica","15/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","12/01/2022","15/01/2022","39.6","","6.0","5.1","1.7","","1.5","4.7","8.1","3.0","29.6","0.9",""
"Pitagórica","14/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","11/01/2022","14/01/2022","38.8","","6.8","4.6","1.9","","1.5","4.9","7.8","3.2","29.3","1.3",""
"Pitagórica","13/01/2022","608","Tracking poll (resultados acumulados","['Telefónica']","10/01/2022","13/01/2022","38.9","","6.2","4.6","2.1","","1.2","5.4","6.9","3.3","29.7","1.7",""
"Aximage","12/01/2022","807","Quotas, por sexo, idade e região","['Telefónica']","6/01/2022","12/01/2022","38.1","","7.4","4.8","2.1","","","3.7","9.0","4.6","28.5","1.8",""
"Intercampus","10/01/2022","615","Quotas, por género e idade","['Telefónica']","4/01/2022","10/01/2022","35.3","","8.5","6.0","4.3","","0.6","5.6","7.1","2.3","29.3","1.1",""
"CESOP-U.Católica","10/01/2022","1246","Estratificada por sexo, região e voto nas legislativas de 2019","['Telefónica']","6/01/2022","10/01/2022","39.0","","6.0","5.0","3.0","","2.0","4.0","6.0","3.0","30.0","2.0",""
"Pitagórica","09/01/2022","600","Quotas, por sexo, idade e distrito","['Telefónica']","30/12/2022","9/01/2022","39.6","","6.4","5.1","1.8","","","5.1","5.7","4.8","30.0","1.5",""
"CESOP-U.Católica","05/01/2022","1238","Estratificada por sexo, região e voto nas legislativas de 2019","['Telefónica']","28/12/2022","5/01/2022","38.0","","6.0","6.0","2.0","","1.0","5.0","5.0","3.0","32.0","2.0",""
"ICS/ISCTE/GFK Metris","20/12/2021","901","Quotas","['Presencial']","10/12/2021","20/12/2021","38.0","","5.0","6.0","2.0","","","4.0","7.0","5.0","31.0","2.0",""
"Intercampus","14/12/2021","603","Quotas, por sexo, idade e região","['Telefónica']","7/12/2021","14/12/2021","35.5","","6.6","4.5","3.5","","0.8","6.4","8.9","5.3","26.8","1.6",""
"Aximage","13/12/2021","810","Quotas, por sexo, idade e região","['Presencial']","9/12/2021","13/12/2021","35.2","","7.3","5.1","2.5","","","3.7","6.2","5.3","33.2","1.3",""
"Pitagórica","12/12/2021","625","Quotas por sexo e idade","['Telefónica']","7/12/2021","12/12/2021","37.0","","4.9","5.9","3.0","","","5.9","6.3","4.3","31.7","1.0",""
"Pitagórica","15/11/2021","625","Quotas por sexo e idade","['Telefónica']","10/11/2021","15/11/2021","39.6","","5.7","5.5","2.0","","","5.1","8.4","7.4","23.9","2.4",""
"Pitagórica","15/11/2021","625","Quotas por sexo e idade","['Telefónica']","10/11/2021","15/11/2021","38.2","","5.4","5.2","1.9","","","4.2","7.1","5.1","32.1","0.8",""
"Intercampus","11/11/2021","612","Quotas, por género e idade","['Telefónica']","5/11/2021","11/11/2021","39.0","","7.7","5.3","4.4","","0.2","4.2","6.3","2.8","28.1","2.0",""
"CESOP-U.Católica","04/11/2021","878","Aleatória","['Telefónica']","29/10/2021","4/11/2021","39.0","","7.0","5.0","3.0","","","5.0","5.0","4.0","30.0","2.0",""
"ICS/ISCTE/GFK Metris","01/11/2021","800","Quotas","['Presencial']","21/10/2021","1/11/2021","40.0","","5.0","6.0","2.0","","","2.0","10.0","8.0","26.0","1.0",""
"Aximage","31/10/2021","803","Quotas, por sexo, idade e região","['Telefónica', 'Online']","28/10/2021","31/10/2021","38.5","","8.8","4.6","2.8","","","4.7","7.7","6.4","24.4","2.0",""
"Intercampus","20/08/2021","612","Quotas por região, género e idade","['Telefónica']","13/08/2021","20/08/2021","34.7","","9.1","5.4","3.5","","0.2","6.1","7.5","6.8","25.1","1.6",""
"Eurosondagem","19/08/2021","1052","Estratificada por Região, e aleatória por Sexo e Idade.","['Telefónica']","16/08/2021","19/08/2021","41.3","","5.6","6.0","2.5","","","4.5","9.0","1.7","27.3","2.1",""
"Eurosondagem","29/07/2021","1025","Estratificada por Região, e aleatória por Sexo e Idade.","['Telefónica']","26/07/2021","29/07/2021","41.1","","4.8","5.9","2.2","","","3.3","8.8","4.5","27.3","2.1",""
"Intercampus","16/07/2021","607","Quotas por sexo e idade","['Telefónica']","7/07/2021","16/07/2021","34.8","","9.0","6.7","4.5","","","3.1","9.0","6.7","23.4","2.8",""
"Aximage","12/07/2021","763","Estratificada por sexo, idade e região","['Telefónica']","10/07/2021","12/07/2021","37.6","","7.8","4.8","4.6","","","5.5","7.7","5.9","25.2","0.9",""
"Eurosondagem","08/07/2021","1022","Estratificada por Região e aleatória por Sexo e Faixa Etária","['Telefónica']","5/07/2021","8/07/2021","40.8","","5.2","5.2","2.1","","","2.5","9.0","5.7","27.3","2.2",""
"Intercampus","16/06/2021","608","Quotas por sexo e idade","['Telefónica']","8/06/2021","16/06/2021","34.6","","8.3","6.0","5.2","","0.6","6.4","10.1","3.3","22.4","3.1",""
"Eurosondagem","03/06/2021","1021","Estratificada por Região","['Telefónica']","30/05/2021","3/06/2021","40.0","","5.5","5.0","2.2","","","2.7","8.4","6.5","27.2","2.5",""
"Aximage","30/05/2021","796","Estratificada por sexo, idade, escolaridade e região.","['Telefónica', 'Online']","26/05/2021","30/05/2021","38.9","","8.0","5.7","3.7","","0.3","5.2","7.0","5.8","24.0","1.4",""
"Eurosondagem","13/05/2021","1008","Estratificada por Região e aleatória por Sexo e Idade.","['Telefónica']","10/05/2021","13/05/2021","39.4","","6.6","5.0","2.3","","","2.2","8.0","6.7","27.4","2.4",""
"Intercampus","11/05/2021","610","Quotas por região género e idade","['Telefónica']","5/05/2021","11/05/2021","37.9","","8.3","5.5","4.8","","1.3","4.2","8.3","5.1","21.7","2.9",""
"CESOP-U.Católica","07/05/2021","1123","Estratificada por sexo, idade e região.","['Telefónica']","3/05/2021","7/05/2021","38.0","","8.0","5.0","3.0","","","5.0","6.0","4.0","28.0","3.0",""
"Aximage","25/04/2021","830","Quotas, por sexo, idade, instrução e região","['Telefónica']","22/04/2021","25/04/2021","38.2","","9.2","5.7","2.7","","0.8","4.9","7.2","4.8","26.1","0.4",""
"Intercampus","13/04/2021","609","Quotas, por sexo, idade e região","['Telefónica']","7/04/2021","13/04/2021","36.2","","9.4","5.2","4.8","","0.4","5.0","9.4","3.0","23.3","3.1",""
"ICS/ISCTE/GFK Metris","13/04/2021","802","Quotas por sexo, grupo etário, instrução e Região","['Presencial']","5/04/2021","13/04/2021","37.0","","9.0","7.0","2.0","","","1.0","6.0","9.0","29.0","1.0",""
"Eurosondagem","08/04/2021","1020","Amostra estratificada por Região e aleatória por Sexo e Idade.","['Telefónica']","5/04/2021","8/04/2021","39.6","","6.2","5.2","2.1","","","2.5","7.7","6.9","27.8","2.0",""
"Aximage","27/03/2021","830","Quotas por sexo, idade e região","['Telefónica']","24/03/2021","27/03/2021","39.7","","8.6","6.0","3.2","","0.8","4.8","8.5","3.6","23.6","1.1",""
"Intercampus","10/03/2021","615","Quotas, por sexo, idade e região","['Telefónica']","4/03/2021","10/03/2021","37.6","","8.3","5.5","2.5","","0.7","5.3","9.0","5.1","23.6","2.3",""
"Eurosondagem","04/03/2021","1010","Estratificada por região","['Telefónica']","1/03/2021","4/03/2021","39.5","","7.0","4.5","2.5","","","2.1","7.5","6.5","28.2","2.2",""
"Aximage","20/02/2021","822","Quotas, por sexo, idade e região","['Telefónica']","17/02/2021","20/02/2021","37.6","","7.7","5.8","4.0","","1.3","5.7","6.5","4.1","26.5","0.8",""
"Intercampus","13/02/2021","609","Quotas, por sexo, idade e região","['Telefónica']","8/02/2021","13/02/2021","37.6","","8.2","5.8","3.1","","0.7","5.6","7.3","4.3","24.7","2.7",""
"Eurosondagem","11/02/2021","1022","Estratificada por região","['Telefónica']","7/02/2021","11/02/2021","39.3","","6.9","4.8","2.2","","","3.0","7.3","7.0","27.2","2.5",""
"CESOP-U.Católica","24/01/2021","4937","Subamostra da amostra utilizada para a projeção para as Eleições Presidenciais","['Presencial']","24/01/2021","24/01/2021","35.0","","8.0","6.0","2.0","","1.0","7.0","9.0","7.0","23.0","2.0",""
"Pitagórica","21/01/2021","604","Estratificada por região","['Telefónica']","18/01/2021","21/01/2021","42.6","","5.4","5.4","2.3","","","5.0","6.8","5.4","25.7","1.6",""
"Aximage","15/01/2021","1183","Quotas por sexo, grupo etário, escolaridade e Região","['Telefónica']","9/01/2021","15/01/2021","39.9","","7.2","5.0","3.5","","","3.5","7.5","5.5","26.6","0.8",""
"Eurosondagem","14/01/2021","1021","Estratificada por região","['Telefónica']","10/01/2021","14/01/2021","39.0","","6.5","5.3","2.2","","","1.3","5.5","10.1","28.0","2.1",""
"CESOP-U.Católica","14/01/2021","2001","Aleatória, não estratificada.","['Telefónica']","11/01/2021","14/01/2021","39.0","","7.0","6.0","2.0","","","5.0","8.0","3.0","28.0","2.0",""
"Intercampus","07/01/2021","603","Estratificada por Região","['Telefónica']","4/01/2021","7/01/2021","38.0","","9.1","5.7","3.6","","0.2","3.8","9.1","4.1","24.1","2.3",""
"Pitagórica","03/01/2021","629","Quotas por sexo, idade e Distrito","['Telefónica']","22/12/2021","3/01/2021","40.9","","7.3","4.1","1.8","","0.2","2.8","8.4","6.9","26.3","1.4",""
"Aximage","22/12/2020","812","Estratificada por género, idade e escolaridade","[]","22/12/2020","22/12/2020","38.5","","8.5","5.7","4.7","","0.5","3.5","7.7","5.2","25.4","0.3",""
"Intercampus","18/12/2020","603","Estratificada por género, idade e região","['Telefónica']","14/12/2020","18/12/2020","38.0","","7.3","5.4","3.4","","0.9","4.5","7.7","6.0","23.6","3.2",""
"CESOP-U.Católica","11/12/2020","1315","Aleatória, não estratificada","['Telefónica']","4/12/2020","11/12/2020","37.0","","7.0","7.0","3.0","","","5.0","6.0","2.0","30.0","3.0",""
"Eurosondagem","10/12/2020","1020","Estratificada por Região","['Telefónica']","7/12/2020","10/12/2020","38.8","","7.2","5.3","2.0","","","1.1","5.2","8.5","29.4","2.5",""
"Aximage","26/11/2020","647","Quotas por sexo, idade e Região","['Telefónica']","23/11/2020","26/11/2020","37.2","","7.9","5.8","6.5","","0.6","2.2","7.5","7.4","23.9","1.0",""
"ICS/ISCTE/GFK Metris","25/11/2020","802","Quotas, por Sexo, Idade, Instrução, Região e Habitat","['Presencial']","11/11/2020","25/11/2020","39.0","","8.0","7.0","2.0","","1.0","","7.0","8.0","25.0","2.0",""
"Intercampus","16/11/2020","622","Quotas por género, idade e Região","['Telefónica']","9/11/2020","16/11/2020","37.1","","7.7","4.9","5.3","","1.8","3.3","7.3","4.4","24.2","4.1",""
"Eurosondagem","05/11/2020","1011","Estratificada por Região","['Telefónica']","2/11/2020","5/11/2020","38.3","","8.3","5.8","2.2","","","1.0","5.0","7.0","29.7","2.7",""
"Aximage","26/10/2020","694","Estratificada por habitat, sexo, atividade, escolaridade, grupo etário e região","['Telefónica']","22/10/2020","26/10/2020","35.5","","10.0","5.7","5.2","","0.4","3.2","5.4","6.3","27.0","1.2",""
"Intercampus","11/10/2020","609","Quotas por região, género e idade","['Telefónica']","6/10/2020","11/10/2020","37.5","","11.0","4.3","4.1","","0.4","2.4","7.7","3.7","24.8","4.1",""
"Eurosondagem","08/10/2020","1010","Estratificada por Região, e aleatória por Sexo e Faixa Etária","['Telefónica']","5/10/2020","8/10/2020","38.8","","8.1","5.5","2.0","","","1.3","4.8","7.2","29.0","3.3",""
"ICS/ISCTE/GFK Metris","24/09/2020","605","Quotas, por Sexo, Idade, Instrução, Região e Habitat","['Presencial']","14/09/2020","24/09/2020","37.0","","8.0","6.0","4.0","","","2.0","7.0","7.0","27.0","2.0",""
"Aximage","14/09/2020","603","Estratificada por habitat, sexo, atividade, escolaridade, grupo etário e região","['Telefónica']","12/09/2020","14/09/2020","37.6","","8.3","5.6","4.8","","1.2","2.6","6.8","8.1","23.9","1.1",""
"Eurosondagem","10/09/2020","1022","Estratificada por género, idade e região","['Telefónica']","7/09/2020","10/09/2020","38.5","","8.3","5.8","3.3","","","1.0","4.5","7.9","28.2","2.5",""
"Intercampus","09/09/2020","614","Quotas por região, género e idade","['Telefónica']","4/09/2020","9/09/2020","37.4","","9.9","5.1","4.1","","0.4","2.1","7.4","5.1","24.3","4.3",""
"Intercampus","11/08/2020","601","Quotas por género, idade e Região","['Telefónica']","6/08/2020","11/08/2020","39.6","","8.5","6.1","3.2","","","2.8","7.9","2.6","24.8","4.4",""
"CESOP-U.Católica","18/07/2020","1482","Estratificada por sexo, escolaridade, grupo etário e região.","['Telefónica']","13/07/2020","18/07/2020","39.0","","7.0","6.0","3.0","","","3.0","7.0","6.0","26.0","3.0",""
"Intercampus","13/07/2020","620","Quotas por região, género e idade","['Telefónica']","8/07/2020","13/07/2020","39.0","","10.4","6.2","3.0","","0.4","2.8","6.2","3.2","23.9","4.8",""
"Aximage","07/07/2020","624","Estratificada por habitat, sexo, atividade, escolaridade, grupo etário e região","['Telefónica']","5/07/2020","7/07/2020","40.4","","8.5","6.0","2.6","","","2.1","5.2","6.3","26.7","2.1",""
"Eurosondagem","02/07/2020","1025","Estratificada por Região","['Telefónica']","29/06/2020","2/07/2020","38.4","","8.4","6.0","2.8","","","1.1","4.4","7.4","29.3","2.2",""
"Intercampus","13/06/2020","610","Estratificada por género, idade e região","['Telefónica']","9/06/2020","13/06/2020","40.0","","9.8","6.2","3.1","","0.8","1.9","6.8","3.2","24.1","4.1",""
"Aximage","07/06/2020","605","Quotas por sexo, idade e Região","['Telefónica']","5/06/2020","7/06/2020","41.7","","8.4","5.1","4.5","","0.2","1.5","5.5","4.8","27.0","1.3",""
"Eurosondagem","04/06/2020","1021","Estratificada por Região","['Telefónica']","1/06/2020","4/06/2020","38.0","","8.0","5.3","3.0","","","1.1","4.1","8.5","29.3","2.7",""
"Pitagórica","24/05/2020","802","Estratificada por género, idade e região","['Telefónica']","16/05/2020","24/05/2020","44.8","","6.1","5.8","3.3","0.6","","1.6","6.4","4.4","24.1","2.8",""
"Intercampus","09/05/2020","620","Quotas por género, idade e Região","['Telefónica']","5/05/2020","9/05/2020","40.3","","9.0","5.9","3.6","","0.7","3.2","6.8","3.6","23.3","3.6",""
"Eurosondagem","04/05/2020","1005","Estratificada por Região","['Telefónica']","4/05/2020","7/05/2020","37.7","","8.3","5.5","2.5","","","1.2","4.0","8.4","29.4","3.0",""
"Pitagórica","26/04/2020","605","Estratificada por região, género e idade","['Telefónica']","15/04/2020","26/04/2020","41.9","","8.1","5.6","2.6","","","2.6","7.3","6.2","23.1","2.6",""
"Intercampus","14/04/2020","623","Quotas por género, idade e Região","['Telefónica']","9/04/2020","14/04/2020","35.4","","11.9","5.8","4.9","","0.7","2.4","7.8","3.9","23.3","3.9",""
"Eurosondagem","02/04/2020","1008","Estratificada por Região","['Telefónica']","02/04/2020","02/04/2020","37.5","","9.0","6.0","2.4","","","1.2","3.6","10.3","27.2","2.8",""
"Pitagórica","21/03/2020","605","Estratificada por género, idade e região","['Telefónica']","13/03/2020","21/03/2020","41.7","","8.6","5.3","3.1","0.2","","2.0","8.1","3.1","25.2","2.9",""
"Intercampus","19/03/2020","611","Quotas por região, género e idade","['Telefónica']","13/03/2020","19/03/2020","31.5","","14.5","6.1","5.9","","0.2","2.3","8.6","5.4","21.9","3.6",""
"Eurosondagem","05/03/2020","1011","Estratificada por Região","['Telefónica']","1/03/2020","5/03/2020","37.3","","8.8","6.3","2.8","","","1.1","3.3","10.1","27.4","2.9",""
"Aximage","17/02/2020","839","Quotas por região, género e idade","['Telefónica']","11/02/2020","17/02/2020","37.1","","8.1","5.7","4.3","","0.7","2.6","4.5","7.1","27.6","2.2",""
"Intercampus","17/02/2020","614","Quotas por região, género e idade","['Telefónica']","11/02/2020","17/02/2020","31.1","","13.2","6.3","5.4","","0.8","2.9","6.9","6.0","23.8","3.5",""
"Eurosondagem","06/02/2020","1020","Estratificada por Região","['Telefónica']","2/02/2020","6/02/2020","37.4","","9.0","6.5","3.1","","0.5","1.1","2.5","9.9","26.7","3.3",""
"Intercampus","24/01/2020","619","Quotas por região, género e idade","['Telefónica']","19/01/2020","24/01/2020","32.8","","12.0","6.2","5.9","","1.7","2.4","6.2","5.1","25.8","1.9",""
"Eurosondagem","09/01/2020","1010","Estratificada por Região","['Telefónica']","5/01/2020","9/01/2020","37.2","","9.6","6.6","3.6","","0.6","1.3","2.2","8.9","26.5","3.5",""
"Intercampus","17/12/2019","606","Quotas por região, género e idade","['Telefónica']","12/12/2019","17/12/2019","33.9","","10.7","6.3","6.1","","1.1","2.4","5.7","4.2","25.7","3.9",""
"Eurosondagem","12/12/2019","1019","Estratificada por Região","['Telefónica']","8/12/2019","12/12/2019","37.1","","9.5","7.1","3.5","","0.6","1.1","1.9","8.7","26.9","3.6",""
"Intercampus","26/11/2019","604","Quotas, estratificada por  género, idade e região.","['Telefónica']","20/11/2019","26/11/2019","34.9","","10.8","8.1","4.8","","2.7","2.9","4.8","3.2","24.9","2.9",""
"Eurosondagem","21/11/2019","1011","Estratificada por Região","['Telefónica']","17/11/2019","21/11/2019","36.9","","10.1","6.9","3.3","","","","","11.7","27.1","4.0",""
"Intercampus","28/10/2019","604","Estratificada por sexo","['Telefónica']","22/10/2019","28/10/2019","35.6","","10.7","6.9","5.3","","2.7","0.8","2.5","6.3","24.8","4.4",""
"Pitagórica","03/10/2019","605","Tracking poll (resultados acumulados","['Telefónica']","30/09/2019","3/10/2019","37.2","","9.2","6.6","4.8","1.1","0.9","0.9","1.8","5.1","27.8","4.6",""
"Pitagórica","02/10/2019","605","Tracking poll (resultados acumulados","['Telefónica']","29/09/2019","2/10/2019","37.3","","9.2","6.6","4.4","1.5","0.9","0.9","1.5","5.0","28.8","3.9",""
"Eurosondagem","01/10/2019","2071","Estratificada por Região","['Telefónica']","25/09/2019","1/10/2019","38.8","","9.6","7.1","4.0","","","","","10.0","25.5","5.0",""
"Aximage","01/10/2019","2171","Estratificada por habitat, sexo, atividade, escolaridade, grupo etário e região.","['Telefónica']","27/09/2019","1/10/2019","36.8","","10.8","6.7","3.8","","1.3","1.1","1.3","6.2","27.0","4.9",""
"Intercampus","01/10/2019","1000","Estratificada por Género e Região","['Presencial']","26/09/2019","1/10/2019","35.0","","8.7","8.0","5.6","","","","","12.1","26.1","4.5",""
"Pitagórica","01/10/2019","605","Tracking poll (resultados acumulados","['Telefónica']","28/09/2019","1/10/2019","37.4","","8.9","7.4","3.8","1.1","0.8","0.4","1.5","6.2","28.5","4.0",""
"Pitagórica","30/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","27/09/2019","30/09/2019","35.6","","9.5","7.8","2.9","1.1","1.5","1.1","1.3","6.5","28.6","4.2",""
"ICS/ISCTE/GFK Metris","29/09/2019","1330","Quotas, estratificada por  sexo, idade, instrução, região e habitat.","['Presencial']","23/09/2019","29/09/2019","38.0","","10.0","7.0","3.0","","","","","9.0","28.0","5.0",""
"CESOP-U.Católica","29/09/2019","3226","Estratificada por Género, Idade e Região","['Presencial']","29/09/2019","29/09/2019","37.0","","10.0","6.0","3.0","1.0","1.0","1.0","1.0","5.0","30.0","5.0",""
"Pitagórica","29/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","26/09/2019","29/09/2019","35.3","","9.1","7.8","3.2","0.6","1.5","1.3","1.1","6.7","28.9","4.5",""
"Pitagórica","28/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","25/09/2019","28/09/2019","37.7","","10.0","6.3","3.1","0.7","1.3","1.1","1.1","6.8","27.7","4.4",""
"Pitagórica","27/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","24/09/2019","27/09/2019","37.1","","10.4","6.4","3.1","0.7","1.3","2.0","1.1","7.8","26.4","3.6",""
"Pitagórica","26/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","23/09/2019","26/09/2019","37.8","","10.1","5.1","3.6","0.7","1.1","1.6","1.1","8.3","26.6","4.0",""
"Aximage","25/09/2019","816","Estratificada por habitat, sexo, atividade, escolaridade, grupo etário e região.","['Telefónica']","22/09/2019","25/09/2019","37.8","","11.1","6.9","3.6","","1.6","1.2","1.5","5.6","25.5","5.2",""
"Pitagórica","25/09/2019","600","Tracking poll (resultados acumulados","['Telefónica']","22/09/2019","25/09/2019","38.3","","10.6","5.3","3.3","0.7","1.1","1.3","0.7","7.5","26.8","4.4",""
"Pitagórica","24/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","21/09/2019","24/09/2019","36.4","","10.6","6.9","3.0","0.5","1.2","1.8","0.7","7.6","27.0","4.4",""
"Pitagórica","23/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","20/09/2019","23/09/2019","36.0","","10.5","6.8","3.7","0.5","0.9","1.2","0.5","7.0","28.5","4.4",""
"Pitagórica","22/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","19/09/2019","22/09/2019","37.6","","10.4","7.6","3.3","0.7","0.5","0.9","0.2","6.3","27.7","4.7",""
"Pitagórica","21/09/2019","600","Tracking poll (resultados acumulados","['Telefónica']","18/09/2019","21/09/2019","38.7","","9.7","6.9","3.1","1.0","0.2","1.0","0.5","6.7","26.8","5.5",""
"Pitagórica","20/09/2019","605","Tracking poll (resultados acumulados","['Telefónica']","17/09/2019","20/09/2019","40.6","","8.8","6.8","3.6","1.1","0.2","0.5","0.5","6.1","26.6","5.2",""
"Multidados","13/09/2019","800","Estratificada, por sexo e idade","['Telefónica']","9/09/2019","13/09/2019","37.7","","12.5","5.9","5.0","","","","","9.0","25.1","5.2",""
"Pitagórica","12/09/2019","605","Quotas, estratificada por  sexo, idade e distrito","['Telefónica']","9/09/2019","12/09/2019","39.2","","10.0","7.7","3.2","1.5","0.9","","","8.6","23.3","5.6",""
"Eurosondagem","12/09/2019","2048","Estratificada por Região","['Telefónica']","7/09/2019","12/09/2019","38.3","","9.5","7.1","4.5","","","","","11.9","23.3","5.5",""
"Intercampus","11/09/2019","801","Estratificada por Sexo e Região","['Telefónica']","2/09/2019","11/09/2019","37.9","","9.8","8.6","5.2","","","","","8.6","23.6","6.3",""
"Aximage","08/09/2019","985","Estratificada por habitat, sexo, atividade, idade e escolaridade","['Telefónica']","5/09/2019","8/09/2019","39.5","","10.5","5.6","5.0","","","","","13.5","21.2","4.7",""
"Eurosondagem","05/09/2019","1022","Estratificada por Região","['Telefónica']","1/09/2019","5/09/2019","38.1","","9.0","6.9","4.4","1.7","","","","10.6","23.3","6.0",""
"ICS/ISCTE/GFK Metris","05/09/2019","801","Quotas, estratificada por  sexo, idade, instrução, ocupação, região e habitat.","['Presencial']","24/08/2019","5/09/2019","42.0","","9.0","6.0","4.0","","","","","11.0","23.0","5.0",""
